Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Bahamas,2500 ,2100 , 2900,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",3300 ,2900 , 3700,"Children estimates were not available at the time of publication.",3600 ,3200 , 4000,"Children estimates were not available at the time of publication.",3900 ,3500 , 4200,"Children estimates were not available at the time of publication.",4100 ,3700 , 4500,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4300 ,3900 , 4700,"Children estimates were not available at the time of publication.",4400 ,4000 , 4800,"Children estimates were not available at the time of publication.",4400 ,4000 , 4800,"Children estimates were not available at the time of publication.",4400 ,4000 , 4800,"Children estimates were not available at the time of publication.",4300 ,3900 , 4700,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4300 ,3900 , 4600,"Children estimates were not available at the time of publication.",4300 ,3900 , 4700,"Children estimates were not available at the time of publication.",4400 ,4000 , 4700,"Children estimates were not available at the time of publication.",4400 ,4000 , 4700,"Children estimates were not available at the time of publication.",4400 ,4100 , 4800,"Children estimates were not available at the time of publication.",4500 ,4100 , 4800,"Children estimates were not available at the time of publication.",4500 ,4100 , 4800,"Children estimates were not available at the time of publication.",4400 ,4000 , 4700,"Children estimates were not available at the time of publication.",4300 ,4000 , 4700,"Children estimates were not available at the time of publication.",4300 ,3900 , 4600,"Children estimates were not available at the time of publication.",4300 ,3900 , 4700,"Children estimates were not available at the time of publication.",4200 ,3900 , 4600,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4200 ,3800 , 4600,"Children estimates were not available at the time of publication.",4100 ,3700 , 4600,"Children estimates were not available at the time of publication.",4100 ,3700 , 4600,"Children estimates were not available at the time of publication.",4100 ,3600 , 4500,"Children estimates were not available at the time of publication.",4000 ,3500 , 4500,"Children estimates were not available at the time of publication."
Bahrain,<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 520,"Children estimates were not available at the time of publication.",500 ,<500 , 570,"Children estimates were not available at the time of publication.",570 ,<500 , 650,"Children estimates were not available at the time of publication.",630 ,540 , 720,"Children estimates were not available at the time of publication.",690 ,590 , 810,"Children estimates were not available at the time of publication."
Bangladesh,,<200 , <200,,,<200 , <500,,,<500 , <500,,,<500 , <500,,,<500 , <500,,,<500 , <500,,,<500 , 560,,,560 , 690,,,690 , 860,,,880 , 1100,,,1200 , 1400,,,1500 , 1900,,,2000 , 2500,,,2600 , 3200,,,3200 , 4000,,,3900 , 4800,,,4500 , 5600,,,5000 , 6300,,,5600 , 7000,,,6200 , 7800,,,6800 , 8400,,,7300 , 9100,,,8000 , 9900,,,8600 , 11 000,,,9400 , 11 000,,,10 000 , 12 000,,,11 000 , 13 000,,,12 000 , 14 000,,,12 000 , 15 000,,,13 000 , 15 000,,,13 000 , 16 000,,,14 000 , 16 000,,,14 000 , 17 000,,,15 000 , 18 000,,,15 000 , 18 000,
Barbados,<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",520 ,<500 , 670,"Children estimates were not available at the time of publication.",700 ,510 , 910,"Children estimates were not available at the time of publication.",900 ,670 , 1200,"Children estimates were not available at the time of publication.",1100 ,830 , 1300,"Children estimates were not available at the time of publication.",1300 ,990 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1600 ,1400 , 1800,"Children estimates were not available at the time of publication.",1600 ,1500 , 1800,"Children estimates were not available at the time of publication.",1700 ,1500 , 1900,"Children estimates were not available at the time of publication.",1800 ,1600 , 1900,"Children estimates were not available at the time of publication.",1800 ,1700 , 2000,"Children estimates were not available at the time of publication.",1900 ,1800 , 2100,"Children estimates were not available at the time of publication.",2000 ,1900 , 2200,"Children estimates were not available at the time of publication.",2100 ,1900 , 2200,"Children estimates were not available at the time of publication.",2200 ,2000 , 2300,"Children estimates were not available at the time of publication.",2200 ,2000 , 2400,"Children estimates were not available at the time of publication.",2300 ,2100 , 2400,"Children estimates were not available at the time of publication.",2300 ,2100 , 2500,"Children estimates were not available at the time of publication.",2300 ,2100 , 2500,"Children estimates were not available at the time of publication.",2400 ,2100 , 2500,"Children estimates were not available at the time of publication.",2400 ,2100 , 2600,"Children estimates were not available at the time of publication.",2400 ,2200 , 2600,"Children estimates were not available at the time of publication.",2400 ,2200 , 2600,"Children estimates were not available at the time of publication.",2400 ,2200 , 2600,"Children estimates were not available at the time of publication.",2400 ,2200 , 2700,"Children estimates were not available at the time of publication.",2400 ,2200 , 2700,"Children estimates were not available at the time of publication.",2400 ,2100 , 2700,"Children estimates were not available at the time of publication.",2400 ,2100 , 2700,"Children estimates were not available at the time of publication.",2500 ,2100 , 2700,"Children estimates were not available at the time of publication.",2400 ,2100 , 2700,"Children estimates were not available at the time of publication.",2400 ,2100 , 2700,"Children estimates were not available at the time of publication.",2400 ,2100 , 2700,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,2900 ,2800 , 3100,,3000 ,2900 , 3200,,3100 ,3000 , 3300,,3200 ,3100 , 3400,,3400 ,3200 , 3600,,3600 ,3500 , 3800,,3900 ,3800 , 4100,,4300 ,4100 , 4500,,4700 ,4500 , 5000,,5200 ,5000 , 5500,,5600 ,5400 , 5900,,6100 ,5800 , 6500,,6600 ,6300 , 7000,,7100 ,6800 , 7500,,7700 ,7300 , 8100,,8200 ,7800 , 8700,,8900 ,8500 , 9400,,9700 ,9200 , 10 000,,10 000 ,9900 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 13 000,,13 000 ,13 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 18 000,,17 000 ,16 000 , 18 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 19 000,,18 000 ,17 000 , 20 000,,19 000 ,17 000 , 20 000,,19 000 ,17 000 , 21 000,
Belize,<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<200 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , 540,"Children estimates were not available at the time of publication.",<500 ,<500 , 660,"Children estimates were not available at the time of publication.",560 ,<500 , 810,"Children estimates were not available at the time of publication.",710 ,<500 , 960,"Children estimates were not available at the time of publication.",880 ,650 , 1100,"Children estimates were not available at the time of publication.",1100 ,830 , 1300,"Children estimates were not available at the time of publication.",1300 ,1000 , 1500,"Children estimates were not available at the time of publication.",1500 ,1200 , 1700,"Children estimates were not available at the time of publication.",1600 ,1400 , 1800,"Children estimates were not available at the time of publication.",1800 ,1600 , 2000,"Children estimates were not available at the time of publication.",2000 ,1800 , 2200,"Children estimates were not available at the time of publication.",2200 ,1900 , 2300,"Children estimates were not available at the time of publication.",2300 ,2100 , 2500,"Children estimates were not available at the time of publication.",2500 ,2300 , 2700,"Children estimates were not available at the time of publication.",2600 ,2400 , 2800,"Children estimates were not available at the time of publication.",2700 ,2500 , 2900,"Children estimates were not available at the time of publication.",2800 ,2600 , 3000,"Children estimates were not available at the time of publication.",3000 ,2700 , 3200,"Children estimates were not available at the time of publication.",3100 ,2800 , 3300,"Children estimates were not available at the time of publication.",3200 ,2900 , 3400,"Children estimates were not available at the time of publication.",3300 ,3000 , 3500,"Children estimates were not available at the time of publication.",3300 ,3100 , 3600,"Children estimates were not available at the time of publication.",3400 ,3200 , 3600,"Children estimates were not available at the time of publication.",3500 ,3200 , 3700,"Children estimates were not available at the time of publication.",3500 ,3300 , 3800,"Children estimates were not available at the time of publication.",3600 ,3300 , 3800,"Children estimates were not available at the time of publication.",3600 ,3300 , 3800,"Children estimates were not available at the time of publication.",3600 ,3300 , 3900,"Children estimates were not available at the time of publication.",3600 ,3300 , 3900,"Children estimates were not available at the time of publication.",3700 ,3400 , 4000,"Children estimates were not available at the time of publication.",3800 ,3500 , 4100,"Children estimates were not available at the time of publication.",3900 ,3500 , 4200,"Children estimates were not available at the time of publication."
Benin,6700 ,4400 , 10 000,,10 000 ,7100 , 14 000,,14 000 ,11 000 , 19 000,,21 000 ,17 000 , 27 000,,27 000 ,22 000 , 35 000,,34 000 ,29 000 , 42 000,,41 000 ,35 000 , 49 000,,47 000 ,41 000 , 55 000,,52 000 ,46 000 , 61 000,,56 000 ,50 000 , 65 000,,59 000 ,52 000 , 68 000,,61 000 ,54 000 , 71 000,,62 000 ,56 000 , 72 000,,63 000 ,56 000 , 73 000,,64 000 ,57 000 , 74 000,,64 000 ,58 000 , 75 000,,64 000 ,58 000 , 74 000,,63 000 ,57 000 , 73 000,,64 000 ,57 000 , 74 000,,66 000 ,58 000 , 76 000,,68 000 ,60 000 , 79 000,,69 000 ,60 000 , 80 000,,70 000 ,61 000 , 82 000,,71 000 ,63 000 , 84 000,,72 000 ,63 000 , 85 000,,72 000 ,63 000 , 85 000,,72 000 ,63 000 , 86 000,,72 000 ,63 000 , 85 000,,72 000 ,63 000 , 85 000,,72 000 ,63 000 , 85 000,,72 000 ,62 000 , 84 000,,71 000 ,62 000 , 84 000,,71 000 ,61 000 , 83 000,,70 000 ,61 000 , 83 000,,70 000 ,61 000 , 83 000,
Bhutan,,<100 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <200,", Children estimates were not available at the time of publication.",,<200 , <500,", Children estimates were not available at the time of publication.",,<200 , <500,", Children estimates were not available at the time of publication.",,<200 , <500,", Children estimates were not available at the time of publication.",,<200 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , <500,", Children estimates were not available at the time of publication.",,<500 , 530,", Children estimates were not available at the time of publication.",,<500 , 560,", Children estimates were not available at the time of publication.",,<500 , 600,", Children estimates were not available at the time of publication.",,<500 , 640,", Children estimates were not available at the time of publication.",,510 , 690,", Children estimates were not available at the time of publication.",,540 , 740,", Children estimates were not available at the time of publication.",,580 , 800,", Children estimates were not available at the time of publication.",,620 , 860,", Children estimates were not available at the time of publication.",,670 , 930,", Children estimates were not available at the time of publication.",,720 , 1000,", Children estimates were not available at the time of publication.",,770 , 1100,", Children estimates were not available at the time of publication.",,820 , 1100,", Children estimates were not available at the time of publication.",,880 , 1200,", Children estimates were not available at the time of publication.",,930 , 1300,", Children estimates were not available at the time of publication."
Bolivia (Plurinational State of),2000 ,750 , 7100,,3200 ,1000 , 9000,,5000 ,1500 , 10 000,,7400 ,2000 , 12 000,,9200 ,2900 , 13 000,,11 000 ,3900 , 14 000,,12 000 ,5600 , 15 000,,13 000 ,7500 , 16 000,,14 000 ,9700 , 17 000,,14 000 ,11 000 , 18 000,,15 000 ,12 000 , 19 000,,16 000 ,13 000 , 20 000,,17 000 ,14 000 , 21 000,,17 000 ,14 000 , 21 000,,18 000 ,14 000 , 22 000,,18 000 ,15 000 , 23 000,,19 000 ,15 000 , 23 000,,19 000 ,16 000 , 24 000,,20 000 ,16 000 , 25 000,,20 000 ,17 000 , 25 000,,21 000 ,17 000 , 26 000,,21 000 ,18 000 , 26 000,,22 000 ,18 000 , 27 000,,23 000 ,19 000 , 27 000,,23 000 ,19 000 , 28 000,,24 000 ,20 000 , 29 000,,25 000 ,21 000 , 30 000,,25 000 ,22 000 , 31 000,,26 000 ,22 000 , 32 000,,27 000 ,23 000 , 33 000,,28 000 ,24 000 , 34 000,,29 000 ,25 000 , 35 000,,30 000 ,26 000 , 36 000,,31 000 ,27 000 , 37 000,,33 000 ,28 000 , 39 000,
Bosnia and Herzegovina,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Botswana,54 000 ,47 000 , 61 000,,75 000 ,67 000 , 83 000,,100 000 ,91 000 , 110 000,,130 000 ,120 000 , 140 000,,160 000 ,150 000 , 170 000,,190 000 ,180 000 , 200 000,,210 000 ,200 000 , 230 000,,230 000 ,220 000 , 250 000,,250 000 ,240 000 , 270 000,,270 000 ,250 000 , 280 000,,280 000 ,270 000 , 290 000,,290 000 ,270 000 , 300 000,,290 000 ,280 000 , 300 000,,290 000 ,280 000 , 310 000,,300 000 ,280 000 , 310 000,,300 000 ,290 000 , 310 000,,300 000 ,290 000 , 320 000,,310 000 ,290 000 , 320 000,,310 000 ,300 000 , 330 000,,320 000 ,300 000 , 330 000,,320 000 ,310 000 , 340 000,,330 000 ,310 000 , 350 000,,340 000 ,320 000 , 350 000,,340 000 ,320 000 , 360 000,,350 000 ,330 000 , 360 000,,350 000 ,330 000 , 370 000,,360 000 ,340 000 , 370 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,370 000 ,350 000 , 380 000,,370 000 ,350 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,,360 000 ,340 000 , 380 000,
Brazil,110 000 ,100 000 , 130 000,,140 000 ,120 000 , 150 000,,160 000 ,150 000 , 180 000,,190 000 ,170 000 , 200 000,,210 000 ,190 000 , 220 000,,220 000 ,200 000 , 240 000,,240 000 ,220 000 , 260 000,,260 000 ,240 000 , 280 000,,270 000 ,250 000 , 290 000,,290 000 ,260 000 , 300 000,,300 000 ,280 000 , 320 000,,310 000 ,290 000 , 330 000,,320 000 ,300 000 , 340 000,,330 000 ,310 000 , 350 000,,340 000 ,320 000 , 360 000,,360 000 ,330 000 , 380 000,,380 000 ,350 000 , 400 000,,400 000 ,370 000 , 420 000,,420 000 ,390 000 , 450 000,,450 000 ,420 000 , 480 000,,490 000 ,450 000 , 520 000,,530 000 ,490 000 , 560 000,,570 000 ,530 000 , 600 000,,620 000 ,570 000 , 650 000,,660 000 ,610 000 , 710 000,,710 000 ,660 000 , 760 000,,770 000 ,700 000 , 820 000,,820 000 ,750 000 , 870 000,,870 000 ,790 000 , 930 000,,920 000 ,840 000 , 980 000,,970 000 ,880 000 , 1 000 000,,1 000 000 ,920 000 , 1 100 000,,1 100 000 ,960 000 , 1 100 000,,1 100 000 ,1 000 000 , 1 200 000,,1 100 000 ,1 000 000 , 1 200 000,
