Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Slovenia,60 ,47 , 72,"Children estimates were not available at the time of publication.",60 ,48 , 72,"Children estimates were not available at the time of publication.",60 ,48 , 72,"Children estimates were not available at the time of publication.",64 ,52 , 77,"Children estimates were not available at the time of publication.",69 ,55 , 82,"Children estimates were not available at the time of publication.",72 ,58 , 86,"Children estimates were not available at the time of publication.",78 ,63 , 93,"Children estimates were not available at the time of publication.",82 ,65 , 97,"Children estimates were not available at the time of publication.",83 ,66 , 98,"Children estimates were not available at the time of publication.",81 ,64 , 95,"Children estimates were not available at the time of publication.",84 ,67 , >98,"Children estimates were not available at the time of publication.",82 ,65 , 96,"Children estimates were not available at the time of publication.",83 ,66 , 97,"Children estimates were not available at the time of publication.",84 ,67 , >98,"Children estimates were not available at the time of publication.",86 ,68 , >98,"Children estimates were not available at the time of publication."
Solomon Islands,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Somalia,8 ,7 , 10,,11 ,10 , 14,,15 ,13 , 18,,18 ,16 , 22,,21 ,18 , 24,,25 ,22 , 29,,30 ,26 , 33,,34 ,30 , 38,,37 ,33 , 42,,40 ,36 , 45,,43 ,38 , 48,,46 ,41 , 52,,49 ,44 , 56,,56 ,50 , 64,,62 ,55 , 70,
South Africa,25 ,23 , 27,,33 ,30 , 35,,40 ,36 , 43,,45 ,41 , 48,,49 ,45 , 53,,54 ,50 , 59,,60 ,55 , 65,,66 ,61 , 71,,70 ,64 , 76,,73 ,67 , 79,,75 ,69 , 81,,77 ,71 , 83,,78 ,72 , 85,,79 ,73 , 86,,81 ,74 , 88,
South Sudan,1 ,1 , 2,,2 ,2 , 3,,3 ,2 , 3,,4 ,3 , 5,,7 ,5 , 9,,11 ,9 , 14,,13 ,10 , 16,,17 ,14 , 21,,22 ,18 , 26,,24 ,21 , 29,,29 ,25 , 35,,31 ,27 , 38,,38 ,32 , 46,,45 ,38 , 55,,50 ,42 , 60,
Spain,65 ,57 , 70,,66 ,58 , 72,,69 ,60 , 75,,71 ,62 , 78,,73 ,63 , 80,,75 ,65 , 83,,82 ,70 , 90,,83 ,71 , 92,,85 ,72 , 94,,85 ,72 , 95,,87 ,74 , 97,,88 ,74 , 98,,90 ,77 , >98,,... ,... , ...,,... ,... , ...,
Sri Lanka,7 ,6 , 8,"Children estimates were not available at the time of publication.",8 ,7 , 9,"Children estimates were not available at the time of publication.",10 ,9 , 11,"Children estimates were not available at the time of publication.",13 ,12 , 15,"Children estimates were not available at the time of publication.",16 ,15 , 19,"Children estimates were not available at the time of publication.",20 ,18 , 23,"Children estimates were not available at the time of publication.",26 ,24 , 30,"Children estimates were not available at the time of publication.",31 ,28 , 35,"Children estimates were not available at the time of publication.",37 ,33 , 41,"Children estimates were not available at the time of publication.",41 ,37 , 47,"Children estimates were not available at the time of publication.",47 ,42 , 52,"Children estimates were not available at the time of publication.",49 ,44 , 55,"Children estimates were not available at the time of publication.",55 ,48 , 62,"Children estimates were not available at the time of publication.",62 ,54 , 70,"Children estimates were not available at the time of publication.",71 ,61 , 81,"Children estimates were not available at the time of publication."
Sudan,8 ,6 , 10,,9 ,7 , 11,,9 ,7 , 12,,12 ,9 , 15,,13 ,10 , 17,,14 ,11 , 18,,17 ,14 , 22,,22 ,17 , 28,,24 ,18 , 31,,27 ,21 , 36,,28 ,22 , 39,,25 ,19 , 35,,24 ,18 , 33,,22 ,17 , 32,,20 ,15 , 29,
Suriname,20 ,18 , 22,,22 ,20 , 25,,28 ,25 , 31,,31 ,29 , 35,,34 ,31 , 38,,36 ,32 , 40,,39 ,35 , 44,,40 ,36 , 45,,41 ,37 , 47,,40 ,36 , 45,,47 ,42 , 53,,45 ,40 , 50,,41 ,37 , 46,,49 ,44 , 55,,49 ,44 , 55,
Sweden,81 ,71 , 88,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",83 ,73 , 91,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",86 ,76 , 95,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",90 ,79 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",93 ,82 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",95 ,84 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",96 ,85 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",97 ,85 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",97 ,85 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",97 ,86 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",96 ,84 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",95 ,83 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",95 ,83 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates. Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://pubmed.ncbi.nlm.nih.gov/39421951/)."
Switzerland,70 ,62 , 77,"Children estimates were not available at the time of publication.",73 ,64 , 80,"Children estimates were not available at the time of publication.",75 ,66 , 83,"Children estimates were not available at the time of publication.",77 ,66 , 85,"Children estimates were not available at the time of publication.",78 ,67 , 87,"Children estimates were not available at the time of publication.",79 ,68 , 89,"Children estimates were not available at the time of publication.",84 ,72 , 94,"Children estimates were not available at the time of publication.",89 ,76 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",89 ,77 , >98,"Children estimates were not available at the time of publication.",91 ,79 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",90 ,77 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Syrian Arab Republic,9 ,7 , 10,"Children estimates were not available at the time of publication.",12 ,10 , 14,"Children estimates were not available at the time of publication.",15 ,13 , 17,"Children estimates were not available at the time of publication.",17 ,15 , 19,"Children estimates were not available at the time of publication.",20 ,17 , 22,"Children estimates were not available at the time of publication.",21 ,18 , 24,"Children estimates were not available at the time of publication.",23 ,20 , 27,"Children estimates were not available at the time of publication.",29 ,25 , 34,"Children estimates were not available at the time of publication.",35 ,30 , 41,"Children estimates were not available at the time of publication.",42 ,36 , 50,"Children estimates were not available at the time of publication.",44 ,37 , 53,"Children estimates were not available at the time of publication.",45 ,38 , 55,"Children estimates were not available at the time of publication.",46 ,38 , 56,"Children estimates were not available at the time of publication.",54 ,44 , 66,"Children estimates were not available at the time of publication.",55 ,44 , 70,"Children estimates were not available at the time of publication."
Tajikistan,5 ,5 , 5,,7 ,7 , 7,,9 ,9 , 9,,12 ,11 , 12,,18 ,17 , 18,,26 ,25 , 26,,33 ,32 , 33,,40 ,39 , 40,,47 ,46 , 48,,54 ,52 , 54,,60 ,58 , 60,,64 ,62 , 65,,70 ,67 , 70,,76 ,73 , 77,,81 ,79 , 82,
Thailand,32 ,29 , 36,,36 ,32 , 40,,40 ,36 , 45,,44 ,40 , 50,,48 ,43 , 54,,55 ,50 , 62,,60 ,54 , 68,,65 ,58 , 73,,68 ,61 , 77,,72 ,64 , 81,,76 ,67 , 86,,78 ,69 , 89,,81 ,71 , 92,,85 ,74 , 97,,88 ,77 , >98,
Timor-Leste,6 ,5 , 7,"Children estimates were not available at the time of publication.",6 ,5 , 7,"Children estimates were not available at the time of publication.",9 ,7 , 10,"Children estimates were not available at the time of publication.",14 ,12 , 16,"Children estimates were not available at the time of publication.",16 ,14 , 19,"Children estimates were not available at the time of publication.",17 ,15 , 20,"Children estimates were not available at the time of publication.",20 ,18 , 23,"Children estimates were not available at the time of publication.",22 ,19 , 25,"Children estimates were not available at the time of publication.",28 ,24 , 32,"Children estimates were not available at the time of publication.",35 ,31 , 41,"Children estimates were not available at the time of publication.",39 ,35 , 46,"Children estimates were not available at the time of publication.",46 ,40 , 53,"Children estimates were not available at the time of publication.",57 ,49 , 66,"Children estimates were not available at the time of publication.",59 ,50 , 69,"Children estimates were not available at the time of publication.",61 ,52 , 72,"Children estimates were not available at the time of publication."
Togo,22 ,19 , 27,,27 ,23 , 31,,30 ,25 , 35,,34 ,29 , 40,,37 ,32 , 44,,44 ,37 , 51,,52 ,44 , 61,,60 ,51 , 71,,66 ,56 , 77,,76 ,64 , 89,,80 ,68 , 95,,81 ,68 , 96,,80 ,67 , 96,,87 ,72 , >98,,92 ,75 , >98,
Trinidad and Tobago,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Tunisia,9 ,6 , 13,,10 ,7 , 15,,9 ,6 , 13,,10 ,7 , 15,,12 ,8 , 18,,13 ,9 , 20,,15 ,10 , 22,,15 ,11 , 24,,17 ,12 , 27,,20 ,14 , 31,,22 ,15 , 35,,23 ,15 , 37,,26 ,17 , 43,,27 ,18 , 46,,29 ,19 , 49,
Turkmenistan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Tuvalu,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Türkiye,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Uganda,20 ,19 , 21,,23 ,22 , 24,,30 ,29 , 33,,40 ,39 , 43,,49 ,47 , 53,,53 ,51 , 57,,59 ,57 , 64,,67 ,64 , 72,,71 ,68 , 77,,74 ,71 , 81,,76 ,72 , 83,,78 ,74 , 85,,80 ,76 , 88,,82 ,77 , 90,,85 ,80 , 94,
Ukraine,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
United Arab Emirates,23 ,20 , 26,"Children estimates were not available at the time of publication.",26 ,22 , 29,"Children estimates were not available at the time of publication.",33 ,28 , 38,"Children estimates were not available at the time of publication.",34 ,29 , 39,"Children estimates were not available at the time of publication.",24 ,20 , 27,"Children estimates were not available at the time of publication.",24 ,21 , 28,"Children estimates were not available at the time of publication.",23 ,20 , 26,"Children estimates were not available at the time of publication.",26 ,23 , 30,"Children estimates were not available at the time of publication.",28 ,25 , 31,"Children estimates were not available at the time of publication.",30 ,26 , 33,"Children estimates were not available at the time of publication.",57 ,50 , 63,"Children estimates were not available at the time of publication.",80 ,69 , 90,"Children estimates were not available at the time of publication.",76 ,65 , 86,"Children estimates were not available at the time of publication.",78 ,66 , 90,"Children estimates were not available at the time of publication.",77 ,64 , 90,"Children estimates were not available at the time of publication."
United Kingdom,... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",89 ,75 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",91 ,77 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",91 ,77 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",93 ,78 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",91 ,77 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",91 ,77 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",93 ,78 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",94 ,80 , >98,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables).",... ,... , ...,"Numbers are estimated by UNAIDS using the Spectrum model, based on the official national estimates (accessed May 2025). Any differences are within uncertainty margins of both sets of estimates, reflecting methodologies and assumptions. (https://www.gov.uk/government/statistics/hiv-annual-data-tables)."
United Republic of Tanzania,20 ,19 , 22,,21 ,20 , 22,,31 ,30 , 34,,35 ,33 , 37,,40 ,38 , 44,,43 ,41 , 46,,45 ,43 , 49,,52 ,50 , 57,,55 ,52 , 59,,61 ,58 , 67,,67 ,64 , 74,,70 ,66 , 77,,74 ,70 , 82,,79 ,75 , 88,,87 ,82 , 98,
United States,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Uruguay,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Uzbekistan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Vanuatu,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Venezuela (Bolivarian Republic of),40 ,37 , 44,,42 ,38 , 45,,45 ,41 , 48,,44 ,41 , 48,,45 ,41 , 48,,58 ,52 , 63,,52 ,47 , 57,,41 ,36 , 45,,30 ,26 , 33,,49 ,42 , 54,,60 ,51 , 68,,60 ,50 , 68,,59 ,49 , 67,,58 ,48 , 67,,57 ,47 , 65,
Viet Nam,26 ,23 , 29,,31 ,27 , 34,,36 ,32 , 40,,40 ,35 , 44,,42 ,37 , 47,,48 ,43 , 54,,51 ,46 , 57,,53 ,47 , 58,,58 ,52 , 64,,61 ,54 , 68,,65 ,58 , 72,,67 ,60 , 75,,69 ,61 , 77,,72 ,64 , 81,,74 ,66 , 84,
Yemen,7 ,7 , 8,,8 ,8 , 9,,9 ,9 , 10,,11 ,10 , 12,,14 ,13 , 15,,15 ,14 , 16,,18 ,17 , 19,,19 ,18 , 20,,21 ,19 , 22,,22 ,21 , 24,,23 ,21 , 25,,24 ,22 , 26,,26 ,23 , 29,,27 ,25 , 31,,29 ,26 , 33,
Zambia,37 ,35 , 40,,43 ,41 , 46,,47 ,45 , 50,,53 ,50 , 56,,59 ,56 , 62,,65 ,62 , 69,,66 ,63 , 70,,67 ,64 , 72,,74 ,70 , 79,,80 ,76 , 85,,87 ,83 , 94,,87 ,83 , 94,,92 ,88 , >98,,92 ,87 , >98,,94 ,89 , >98,
Zimbabwe,26 ,25 , 29,,35 ,34 , 39,,41 ,39 , 46,,48 ,46 , 54,,55 ,52 , 61,,61 ,58 , 68,,67 ,64 , 75,,76 ,73 , 86,,79 ,76 , 90,,85 ,81 , 97,,88 ,84 , >98,,89 ,85 , >98,,93 ,89 , >98,,94 ,90 , >98,,95 ,90 , >98,
Global,24 ,19,28,,28 ,23,33,,33 ,26,38,,38 ,30,44,,42 ,34,49,,47 ,37,55,,52 ,42,60,,57 ,46,66,,60 ,48,70,,64 ,51,75,,67 ,54,78,,70 ,56,81,,73 ,58,84,,75 ,60,87,,77 ,62,90,
